content_class,style_class,content_index,style_index,status,rejection_reason,image_path
airplane,bird,4526,3194,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0000.png
airplane,bird,3552,4551,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0001.png
airplane,bird,2333,545,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0002.png
airplane,bird,2459,1308,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0003.png
airplane,bird,1731,4903,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0004.png
airplane,bird,3693,1542,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0005.png
airplane,bird,781,4391,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0006.png
airplane,bird,437,4269,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0007.png
airplane,bird,4379,2148,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0008.png
airplane,bird,1131,1789,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0009.png
airplane,bird,2434,1485,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0010.png
airplane,bird,1281,3171,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0011.png
airplane,bird,1820,4066,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0012.png
airplane,bird,487,2346,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0013.png
airplane,bird,708,3134,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0014.png
airplane,bird,2324,4034,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0015.png
airplane,bird,4470,2663,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0016.png
airplane,bird,2281,2739,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0017.png
airplane,bird,2590,3145,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0018.png
airplane,bird,646,2818,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_airplane_style_bird_0019.png
bird,airplane,4557,2199,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0000.png
bird,airplane,4721,999,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0001.png
bird,airplane,3099,2440,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0002.png
bird,airplane,3975,4421,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0003.png
bird,airplane,4450,1963,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0004.png
bird,airplane,636,31,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0005.png
bird,airplane,1937,3693,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0006.png
bird,airplane,1828,1641,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0007.png
bird,airplane,4308,2333,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0008.png
bird,airplane,2439,3365,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0009.png
bird,airplane,641,3866,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0010.png
bird,airplane,4216,2481,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0011.png
bird,airplane,1788,2375,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0012.png
bird,airplane,3517,1456,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0013.png
bird,airplane,4903,730,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0014.png
bird,airplane,1427,3929,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0015.png
bird,airplane,3208,4917,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0016.png
bird,airplane,1940,2447,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0017.png
bird,airplane,2020,3853,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0018.png
bird,airplane,4194,3110,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_bird_style_airplane_0019.png
car,truck,4410,3384,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0000.png
car,truck,121,1150,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0001.png
car,truck,2672,4056,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0002.png
car,truck,2831,1962,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0003.png
car,truck,3421,688,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0004.png
car,truck,4073,4130,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0005.png
car,truck,951,4607,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0006.png
car,truck,4090,2618,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0007.png
car,truck,429,3926,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0008.png
car,truck,1228,612,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0009.png
car,truck,1742,3725,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0010.png
car,truck,2379,3733,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0011.png
car,truck,1759,1441,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0012.png
car,truck,4765,2936,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0013.png
car,truck,598,4484,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0014.png
car,truck,3446,4611,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0015.png
car,truck,336,306,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0016.png
car,truck,3666,4683,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0017.png
car,truck,2052,700,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0018.png
car,truck,1143,1649,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_car_style_truck_0019.png
truck,car,1005,4427,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0000.png
truck,car,3969,4937,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0001.png
truck,car,4878,3825,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0002.png
truck,car,4499,3288,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0003.png
truck,car,3714,4090,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0004.png
truck,car,4814,4941,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0005.png
truck,car,2311,418,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0006.png
truck,car,423,151,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0007.png
truck,car,2979,2202,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0008.png
truck,car,3634,3180,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0009.png
truck,car,4511,1742,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0010.png
truck,car,1083,732,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0011.png
truck,car,4460,4660,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0012.png
truck,car,4682,767,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0013.png
truck,car,2724,4292,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0014.png
truck,car,1770,2158,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0015.png
truck,car,3036,2745,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0016.png
truck,car,1821,2760,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0017.png
truck,car,2321,2508,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0018.png
truck,car,1987,848,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_truck_style_car_0019.png
cat,dog,4623,2685,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0000.png
cat,dog,302,3978,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0001.png
cat,dog,2994,1235,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0002.png
cat,dog,510,3855,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0003.png
cat,dog,4082,2751,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0004.png
cat,dog,4516,4661,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0005.png
cat,dog,1744,500,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0006.png
cat,dog,2095,747,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0007.png
cat,dog,4099,3908,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0008.png
cat,dog,739,892,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0009.png
cat,dog,2469,928,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0010.png
cat,dog,4843,2065,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0011.png
cat,dog,345,195,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0012.png
cat,dog,1077,2543,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0013.png
