model,displacement,direction,accuracy,consistency
resnet50,0,right,0.972,1.0
resnet50,0,left,0.972,1.0
resnet50,0,down,0.972,1.0
resnet50,0,up,0.972,1.0
resnet50,0,mean,0.972,1.0
resnet50,8,right,0.974,0.994
resnet50,8,left,0.97,0.99
resnet50,8,down,0.974,0.998
resnet50,8,up,0.974,0.99
resnet50,8,mean,0.973,0.993
resnet50,16,right,0.968,0.99
resnet50,16,left,0.968,0.982
resnet50,16,down,0.968,0.99
resnet50,16,up,0.972,0.996
resnet50,16,mean,0.969,0.9895
resnet50,32,right,0.972,0.99
resnet50,32,left,0.968,0.978
resnet50,32,down,0.972,0.99
resnet50,32,up,0.968,0.986
resnet50,32,mean,0.97,0.986
vit_b16,0,right,0.988,1.0
vit_b16,0,left,0.988,1.0
vit_b16,0,down,0.988,1.0
vit_b16,0,up,0.988,1.0
vit_b16,0,mean,0.988,1.0
vit_b16,8,right,0.982,0.99
vit_b16,8,left,0.978,0.986
vit_b16,8,down,0.988,0.996
vit_b16,8,up,0.99,0.99
vit_b16,8,mean,0.9845,0.9905
vit_b16,16,right,0.984,0.996
vit_b16,16,left,0.99,0.998
vit_b16,16,down,0.988,0.994
vit_b16,16,up,0.986,0.998
vit_b16,16,mean,0.987,0.9965
vit_b16,32,right,0.98,0.99
vit_b16,32,left,0.986,0.99
vit_b16,32,down,0.984,0.986
vit_b16,32,up,0.988,0.99
vit_b16,32,mean,0.9845,0.989
clip,0,right,0.964,0.968
clip,0,left,0.974,0.972
clip,0,down,0.968,0.972
clip,0,up,0.972,0.982
clip,0,mean,0.9695,0.9735
clip,8,right,0.962,0.976
clip,8,left,0.964,0.968
clip,8,down,0.968,0.962
clip,8,up,0.968,0.974
clip,8,mean,0.9655,0.97
clip,16,right,0.96,0.974
clip,16,left,0.962,0.964
clip,16,down,0.972,0.98
clip,16,up,0.97,0.966
clip,16,mean,0.966,0.971
clip,32,right,0.954,0.956
clip,32,left,0.966,0.956
clip,32,down,0.96,0.968
clip,32,up,0.958,0.95
clip,32,mean,0.9595,0.9575
