test_index,class
7154,4
5586,7
5522,3
7745,6
7608,7
5999,0
680,7
249,3
2252,2
7843,2
5697,7
4151,0
298,0
7962,6
3230,7
1166,8
813,6
7327,2
6869,7
3993,9
4709,1
321,4
5068,0
1550,4
1715,5
6216,2
6870,8
2338,2
2064,4
7187,6
3890,4
6548,2
6410,1
241,0
864,7
4966,5
6840,7
5281,5
7260,0
932,9
1122,7
6162,8
6302,8
2988,1
4956,9
1563,3
4072,8
493,7
2808,7
2451,5
1770,6
7711,2
5255,0
1977,0
5177,2
4869,6
1514,7
4856,3
7782,0
6131,8
4746,6
3202,3
7430,0
4201,2
6880,1
2059,8
5708,4
61,1
19,6
6374,7
6324,3
2222,3
6913,4
5093,1
3103,9
6817,0
4982,0
6882,7
6485,6
6500,0
7505,7
7869,0
1081,1
3628,6
4316,2
243,9
1241,3
6982,1
757,9
3067,2
5830,1
6022,1
3802,6
5211,9
7049,9
3375,3
3339,4
732,9
432,6
422,0
3479,8
5663,2
4597,5
597,0
3900,8
2335,8
225,1
5621,9
760,6
655,2
3418,6
4041,2
1302,1
275,1
3137,6
5122,1
352,9
5398,8
3069,4
3537,1
7128,0
4155,4
3588,1
6451,9
2862,4
7778,7
3076,9
4440,2
6376,5
1946,3
1057,5
5040,8
2937,0
2453,5
4526,5
4968,6
2667,9
7771,5
1890,6
2125,4
5995,7
629,6
7826,2
7891,3
2561,6
5240,1
1677,5
4721,9
567,5
4188,1
2756,7
6014,1
5394,1
5976,3
6641,3
7179,5
1428,1
7416,3
7054,4
7769,7
2021,4
3690,9
6959,5
3944,2
7921,9
1669,4
6989,5
6683,2
6762,0
589,3
4844,8
7421,3
230,7
4858,3
1187,3
5181,4
2611,2
517,2
4049,9
2200,2
5655,9
2392,2
4533,0
7217,1
3816,8
3661,6
5546,1
4320,9
3223,1
1218,1
2225,3
840,5
4080,7
1255,8
5067,0
564,1
1836,9
7108,6
2785,3
6110,8
6420,0
6663,7
3551,8
5635,3
5732,6
7671,9
4411,6
2653,4
7845,9
1731,2
6643,8
4605,2
4441,7
4685,6
2063,7
1740,1
5301,9
1463,0
4876,8
7574,4
2485,6
460,8
5276,0
3078,4
5467,4
7577,5
6832,8
1059,2
7728,4
5134,8
4430,6
728,0
6019,5
7387,4
5711,0
602,8
6122,4
4174,3
6970,5
3193,6
88,2
2210,0
3530,1
1224,7
4384,4
60,0
1011,4
2565,6
2355,8
1179,2
7300,8
6614,6
4862,5
4690,8
2207,7
359,0
4616,4
4773,7
3928,4
6225,7
5320,8
752,0
7695,7
6938,1
4058,8
3581,7
1163,9
7147,9
7976,8
6981,2
2454,3
7975,0
2982,7
463,1
7907,8
1616,8
1694,4
3861,4
2969,6
2566,6
1330,6
1050,4
2099,8
4798,6
6746,6
5687,5
2657,8
490,4
3759,0
7622,6
4632,8
7429,5
1548,0
6072,1
6429,0
2748,2
2038,8
5929,1
2434,3
7066,1
5624,0
2773,7
4362,9
6322,7
5785,0
2100,7
7910,4
3397,0
4265,5
7705,9
4262,4
7661,4
6123,4
3825,5
5603,5
1353,1
3411,7
4361,1
4655,8
339,0
7654,9
2581,7
1237,7
4089,4
1209,4
852,9
3428,9
39,5
7392,2
3488,0
78,5
6790,6
3254,1
1622,3
266,8
4251,6
905,2
5986,6
162,5
5288,5
1491,1
6065,0
2206,3
5234,5
2379,9
2436,2
1053,1
7672,5
1592,4
1481,6
6301,7
4733,1
6930,5
6822,5
2682,9
3641,2
874,3
2674,9
5210,9
2201,6
2332,5
6154,6
5959,8
4184,3
3249,9
6202,9
6094,3
1240,9
3625,5
5722,6
3363,2
6920,6
808,0
3080,5
1823,5
1343,3
495,3
7527,3
57,7
7101,0
4819,0
6496,9
4473,3
51,4
7334,0
3140,7
1889,5
2909,2
6271,2
897,3
1010,5
6575,3
7330,9
4917,5
1658,8
5463,2
6001,8
1985,7
7701,9
4095,9
3144,1
5577,2
5888,4
2360,3
2875,4
3556,1
6587,4
5011,2
6876,7
6385,3
5484,2
3388,1
6826,3
5479,8
3200,9
6647,3
6498,1
3681,3
1157,6
2503,2
5535,7
7596,8
123,5
4720,3
5294,3
1223,4
3444,4
3151,0
3999,0
5004,2
1077,6
6068,1
2673,1
6738,2
6632,3
6411,6
3285,0
2647,6
6441,4
185,3
6347,2
6795,2
650,4
1750,2
332,2
1473,7
6149,7
4006,4
2787,7
7767,9
6862,8
6797,8
5765,4
2915,2
3892,5
5794,5
5417,5
3834,1
4045,0
6365,8
5551,3
1968,3
3568,4
2480,3
7165,0
6053,2
4951,7
1522,9
6459,3
6747,9
6536,9
480,0
963,1
313,2
7343,5
7508,8
5646,5
3161,1
5767,5
6274,8
3590,7
6725,7
1656,7
2166,9
952,9
7360,3
2414,9
4870,5
1912,6
4476,6
7052,1
3012,4
5854,6
1002,8
4030,8
273,8
1361,5
533,5
1531,3
5425,1
